EMD,EMD_error,trial_index,arm_name,filters_1,kernel_1,pooling_1,stride_1,learning_rate,batch_size,trial_status,generation_method,units_1,units_2,OPs,info
2.21,0.817,15,15_0,4,1,False,1,0.0536474557411165,50,COMPLETED,GPEI,16.0,,3616,"C: [4], K: [1], P: ['False'], S: [1], D: [16]"
1.845,0.595,16,16_0,8,1,False,1,0.0775452342307583,100,COMPLETED,GPEI,16.0,,6688,"C: [8], K: [1], P: ['False'], S: [1], D: [16]"
1.663,0.543,17,17_0,4,3,False,1,0.0566112096455288,100,COMPLETED,GPEI,16.0,,7712,"C: [4], K: [3], P: ['False'], S: [1], D: [16]"
2.21,0.817,18,18_0,4,1,False,1,0.0569412854725888,100,COMPLETED,GPEI,16.0,,3616,"C: [4], K: [1], P: ['False'], S: [1], D: [16]"
3.432,1.521,19,19_0,16,1,False,4,0.0948430605582267,350,COMPLETED,GPEI,64.0,,4432,"C: [16], K: [1], P: ['False'], S: [4], D: [64]"
3.432,1.521,20,20_0,16,1,False,4,0.0941298108971213,300,COMPLETED,GPEI,32.0,,2352,"C: [16], K: [1], P: ['False'], S: [4], D: [32]"
3.432,1.521,21,21_0,16,1,False,4,0.0939395918734469,250,COMPLETED,GPEI,32.0,,2352,"C: [16], K: [1], P: ['False'], S: [4], D: [32]"
1.663,0.543,22,22_0,4,3,False,1,0.03747429250584,50,COMPLETED,GPEI,16.0,,7712,"C: [4], K: [3], P: ['False'], S: [1], D: [16]"
1.663,0.543,23,23_0,4,3,False,1,0.0424048519261411,50,COMPLETED,GPEI,16.0,,7712,"C: [4], K: [3], P: ['False'], S: [1], D: [16]"
1.663,0.543,24,24_0,4,3,False,1,0.042183472166498,100,COMPLETED,GPEI,16.0,,7712,"C: [4], K: [3], P: ['False'], S: [1], D: [16]"
1.607,0.508,25,25_0,4,3,False,1,0.039990160356758,50,COMPLETED,GPEI,32.0,,10288,"C: [4], K: [3], P: ['False'], S: [1], D: [32]"
1.607,0.508,26,26_0,4,3,False,1,0.0447426026437887,50,COMPLETED,GPEI,32.0,,10288,"C: [4], K: [3], P: ['False'], S: [1], D: [32]"
1.607,0.508,27,27_0,4,3,False,1,0.046631679996216,50,COMPLETED,GPEI,32.0,,10288,"C: [4], K: [3], P: ['False'], S: [1], D: [32]"
