EMD,EMD_error,trial_index,arm_name,filters_1,kernel_1,pooling_1,stride_1,filters_2,kernel_2,pooling_2,stride_2,units_1,trial_status,generation_method,units_2,units_3,filters_3,kernel_3,pooling_3,stride_3,OPs,info
2.762,1.124,0,0_0,11,3,FALSE,4,61,5,TRUE,4,25,COMPLETED,Sobol,35,,,,,,40731,"C: [11, 61], K: [3, 5], P: ['FALSE', 'TRUE'], S: [4, 4], D: [25, 35]"
2.824,1.166,5,5_0,24,3,FALSE,4,3,5,TRUE,1,28,COMPLETED,Sobol,50,,,,,,10197,"C: [24, 3], K: [3, 5], P: ['FALSE', 'TRUE'], S: [4, 1], D: [28, 50]"
2.947,1.374,9,9_0,9,1,FALSE,2,11,3,FALSE,1,46,COMPLETED,Sobol,43,,,,,,14241,"C: [9, 11], K: [1, 3], P: ['FALSE', 'FALSE'], S: [2, 1], D: [46, 43]"
2.967,0.933,5,5_0,6,1,FALSE,1,,,,,39,COMPLETED,Sobol,24,,,,,,11743,"C: [6], K: [1], P: ['FALSE'], S: [1], D: [39, 24]"
2.992,0.864,8,8_0,,,,,,,,,42,COMPLETED,GPEI,,,,,,,6778,"C: [], K: [3], P: [], S: [], D: [42]"
3.081,1.381,4,4_0,6,1,FALSE,2,50,5,TRUE,1,49,COMPLETED,Sobol,30,,3,1,FALSE,1,65388,"C: [6, 50, 3], K: [1, 5, 1], P: ['FALSE', 'TRUE', 'FALSE'], S: [2, 1, 1], D: [49, 30]"
3.087,1.093,0,0_0,,,,,,,,,27,COMPLETED,Sobol,21,42,,,,,7804,"C: [], K: [3], P: [], S: [], D: [27, 21, 42]"
3.125,1.016,3,3_0,7,3,FALSE,1,21,5,TRUE,4,23,COMPLETED,Sobol,24,60,26,3,TRUE,1,33596,"C: [7, 21, 26], K: [3, 5, 3], P: ['FALSE', 'TRUE', 'TRUE'], S: [1, 4, 1], D: [23, 24, 60]"
3.129,0.982,2,2_0,,,,,,,,,19,COMPLETED,Sobol,,,,,,,3075,"C: [], K: [3], P: [], S: [], D: [19]"
3.15,1.055,2,2_0,,,,,,,,,44,COMPLETED,Sobol,29,,,,,,9201,"C: [], K: [3], P: [], S: [], D: [44, 29]"
3.206,1.184,6,6_0,4,1,TRUE,1,26,3,TRUE,2,,COMPLETED,Sobol,,,,,,,9568,"C: [4, 26], K: [1, 3], P: ['TRUE', 'TRUE'], S: [1, 2], D: []"
3.211,1.275,9,9_0,53,3,TRUE,4,22,3,TRUE,2,,COMPLETED,Sobol,,,,,,,26058,"C: [53, 22], K: [3, 3], P: ['TRUE', 'TRUE'], S: [4, 2], D: []"
3.219,1.287,7,7_0,15,3,TRUE,4,48,3,TRUE,2,,COMPLETED,Sobol,,,,,,,15952,"C: [15, 48], K: [3, 3], P: ['TRUE', 'TRUE'], S: [4, 2], D: []"
3.219,1.298,3,3_0,29,3,TRUE,4,5,5,TRUE,4,28,COMPLETED,Sobol,54,,,,,,14725,"C: [29, 5], K: [3, 5], P: ['TRUE', 'TRUE'], S: [4, 4], D: [28, 54]"
3.235,1.274,1,1_0,56,3,TRUE,4,61,3,TRUE,2,51,COMPLETED,Sobol,25,,60,3,FALSE,1,142015,"C: [56, 61, 60], K: [3, 3, 3], P: ['TRUE', 'TRUE', 'FALSE'], S: [4, 2, 1], D: [51, 25]"
3.247,1.279,2,2_0,52,3,TRUE,4,62,1,TRUE,4,17,COMPLETED,Sobol,35,,,,,,15404,"C: [52, 62], K: [3, 1], P: ['TRUE', 'TRUE'], S: [4, 4], D: [17, 35]"
3.258,1.28,8,8_0,10,3,TRUE,4,58,1,FALSE,4,41,COMPLETED,Sobol,,,20,3,TRUE,4,26239,"C: [10, 58, 20], K: [3, 1, 3], P: ['TRUE', 'FALSE', 'TRUE'], S: [4, 4, 4], D: [41]"
3.31,1.469,2,2_0,44,1,FALSE,4,58,5,FALSE,2,32,COMPLETED,Sobol,62,31,,,,,141251,"C: [44, 58], K: [1, 5], P: ['FALSE', 'FALSE'], S: [4, 2], D: [32, 62, 31]"
3.317,1.29,6,6_0,19,3,TRUE,4,34,3,TRUE,4,28,COMPLETED,Sobol,62,16,43,3,FALSE,4,48347,"C: [19, 34, 43], K: [3, 3, 3], P: ['TRUE', 'TRUE', 'FALSE'], S: [4, 4, 4], D: [28, 62, 16]"
3.332,1.357,7,7_0,8,3,TRUE,4,10,5,FALSE,1,38,COMPLETED,Sobol,,,44,5,FALSE,2,31524,"C: [8, 10, 44], K: [3, 5, 5], P: ['TRUE', 'FALSE', 'FALSE'], S: [4, 1, 2], D: [38]"
3.359,1.479,4,4_0,61,1,TRUE,4,24,5,FALSE,1,49,COMPLETED,Sobol,35,25,,,,,82753,"C: [61, 24], K: [1, 5], P: ['TRUE', 'FALSE'], S: [4, 1], D: [49, 35, 25]"
3.36,1.48,6,6_0,37,1,TRUE,4,56,5,FALSE,1,40,COMPLETED,Sobol,26,28,,,,,113494,"C: [37, 56], K: [1, 5], P: ['TRUE', 'FALSE'], S: [4, 1], D: [40, 26, 28]"
3.396,1.499,4,4_0,8,5,TRUE,4,3,1,FALSE,4,30,COMPLETED,Sobol,23,31,38,3,TRUE,4,10147,"C: [8, 3, 38], K: [5, 1, 3], P: ['TRUE', 'FALSE', 'TRUE'], S: [4, 4, 4], D: [30, 23, 31]"
3.432,1.521,3,3_0,18,1,TRUE,4,43,5,TRUE,2,16,COMPLETED,Sobol,,,,,,,41123,"C: [18, 43], K: [1, 5], P: ['TRUE', 'TRUE'], S: [4, 2], D: [16]"
3.432,1.521,8,8_0,56,1,TRUE,4,3,3,TRUE,1,40,COMPLETED,Sobol,,,,,,,5511,"C: [56, 3], K: [1, 3], P: ['TRUE', 'TRUE'], S: [4, 1], D: [40]"
3.432,1.521,2,2_0,60,1,FALSE,4,39,5,FALSE,4,46,COMPLETED,Sobol,25,46,35,1,TRUE,4,130485,"C: [60, 39, 35], K: [1, 5, 1], P: ['FALSE', 'FALSE', 'TRUE'], S: [4, 4, 4], D: [46, 25, 46]"
3.432,1.521,9,9_0,41,1,TRUE,4,35,5,FALSE,2,33,COMPLETED,Sobol,53,27,40,5,FALSE,2,152774,"C: [41, 35, 40], K: [1, 5, 5], P: ['TRUE', 'FALSE', 'FALSE'], S: [4, 2, 2], D: [33, 53, 27]"
3.432,1.521,2,2_0,20,1,TRUE,4,,,,,63,COMPLETED,Sobol,,,,,,,4935,"C: [20], K: [1], P: ['TRUE'], S: [4], D: [63]"
3.432,1.521,9,9_0,12,1,TRUE,4,,,,,21,COMPLETED,Sobol,50,27,,,,,6474,"C: [12], K: [1], P: ['TRUE'], S: [4], D: [21, 50, 27]"
3.432,1.521,0,0_0,63,1,FALSE,4,,,,,47,COMPLETED,Sobol,17,,,,,,9152,"C: [63], K: [1], P: ['FALSE'], S: [4], D: [47, 17]"
3.432,1.521,7,7_0,64,1,FALSE,4,,,,,53,COMPLETED,Sobol,17,,,,,,10240,"C: [64], K: [1], P: ['FALSE'], S: [4], D: [53, 17]"
3.432,1.521,8,8_0,13,1,TRUE,4,,,,,55,COMPLETED,Sobol,43,,,,,,7858,"C: [13], K: [1], P: ['TRUE'], S: [4], D: [55, 43]"
3.457,1.543,8,8_0,,,,,,,,,41,COMPLETED,GPEI,41,52,,,,,14688,"C: [], K: [3], P: [], S: [], D: [41, 41, 52]"
3.457,1.543,0,0_0,,,,,,,,,50,COMPLETED,Sobol,20,,,,,,9126,"C: [], K: [3], P: [], S: [], D: [50, 20]"
3.457,1.543,0,0_0,2,1,TRUE,1,46,5,TRUE,2,45,COMPLETED,Sobol,32,43,64,5,FALSE,1,179704,"C: [2, 46, 64], K: [1, 5, 5], P: ['TRUE', 'TRUE', 'FALSE'], S: [1, 2, 1], D: [45, 32, 43]"
3.457,1.543,5,5_0,8,5,FALSE,4,3,3,FALSE,1,45,COMPLETED,Sobol,58,36,1,3,FALSE,1,12963,"C: [8, 3, 1], K: [5, 3, 3], P: ['FALSE', 'FALSE', 'FALSE'], S: [4, 1, 1], D: [45, 58, 36]"
3.464,1.51,9,9_0,39,1,FALSE,2,51,1,FALSE,1,44,COMPLETED,Sobol,,,,,,,24772,"C: [39, 51], K: [1, 1], P: ['FALSE', 'FALSE'], S: [2, 1], D: [44]"
